ID,Full Name,Name,Prefix,Sex,Sire ID,Dam ID,Owner CTU ID,Owned
CTC2157,MM Madee,Madee,MM,Female,CTC46,CTC218,CTU1,Yes
CTC240,MM Fallon,Fallon,MM,Male,CTC244,CTC245,CTU1,No
CTC362,MM Chica,Chica,MM,Female,CTC360,CTC361,CTU1,No
CTC2180,MM Senne,Senne,MM,Female,CTC2179,CTC177,CTU1,Yes
CTC2181,MM Sjors,Sjors,MM,Female,CTC2179,CTC177,CTU1,Yes
CTC234,MM Sjors,Sjors,MM,Female,,CTC177,CTU1,No
CTC42,MM Wicked,Wicked,MM,Male,CTC46,CTC43,CTU1,No
CTC2183,MM Teddie,Teddie,MM,Female,CTC2179,CTC2182,CTU1,Yes
CTC2242,MM Sinne,Sinne,MM,Female,CTC2240,CTC2241,CTU2,Yes
CTC222,MM Universe,Universe,MM,Male,CTC223,CTC224,CTU1,No
CTC2155,MM Mystique,Mystique,MM,Female,CTC223,CTC2156,CTU1,Yes
CTC2230,MM Maisy,Maisy,MM,Female,CTC2166,CTC2229,CTU2,Yes
CTC176,MM Jerome,Jerome,MM,Male,CTC358,CTC359,CTU1,No
CTC2226,MM Elle,Elle,MM,Female,CTC2224,CTC2225,CTU2,Yes
CTC208,MM Zhaleya,Zhaleya,MM,Female,CTC209,CTC210,CTU1,No
CTC2172,MM Bindi,Bindi,MM,Female,CTC242,CTC2171,CTU1,Yes
CTC2166,MM Indigo,Indigo,MM,Male,CTC209,CTC2165,CTU1,Yes
CTC2177,AR Rebel,Rebel,AR,Female,,,CTU2,Yes
CTC245,MM Bluet,Bluet,MM,Female,CTC209,CTC246,CTU1,No
CTC2156,SB Tutti,Tutti,SB,Female,,,CTU2,Yes
CTC2225,PvK Rosemary,Rosemary,PvK,Female,,,CTU2,Yes
CTC2229,FR Sierra,Sierra,FR,Female,,,CTU2,Yes
CTC2240,SB Emmett,Emmett,SB,Male,,,CTU2,Yes
CTC2241,FR Azula,Azula,FR,Female,,,CTU2,Yes
CTC2182,PvK Boo,Boo,PvK,Female,,,CTU2,Yes
CTC2165,PvK Hardy,Hardy,PvK,Female,,,CTU2,Yes
CTC2179,FR Remy,Remy,FR,Male,,,CTU2,Yes
CTC2167,MGF Hairo,Hairo,MGF,Female,,,CTU2,Yes
CTC2171,FR Xatu,Xatu,FR,Female,,,CTU2,Yes
CTC226,MM Percy Plumeau,Percy Plumeau,MM,Male,CTC46,CTC43,CTU1,No
CTC370,MM Ghimly,Ghimly,MM,Male,CTC46,CTC43,CTU1,No
CTC2223,MM Sheera,Sheera,MM,Female,CTC2221,CTC2222,CTU1,Yes
CTC2219,MM Blue Tan,Blue Tan,MM,Male,CTC2217,CTC2218,CTU1,Yes
CTC2220,MM Sweetpea,Sweetpea,MM,Male,CTC2217,CTC2218,CTU1,Yes
CTC2215,MM Pepper,Pepper,MM,Female,CTC46,CTC2214,CTU1,Yes
CTC2224,TOM Kalani,Kalani,TOM,Male,,,CTU2,Yes
CTC2213,MM Flynn Rider,Flynn Rider,MM,Male,CTC2211,CTC2212,CTU1,Yes
CTC2210,MM Dante's Inferno,Dante's Inferno,MM,Male,CTC2208,CTC2209,CTU1,Yes
CTC2207,MM Golden Brown,Golden Brown,MM,Male,CTC2202,CTC2206,CTU1,Yes
CTC2217,MOW Flip,Flip,MOW,Male,,,CTU2,Yes
CTC2203,MM Jezebel,Jezebel,MM,Female,CTC2201,CTC2153,CTU1,Yes
CTC2208,JW Devon,Devon,JW,Male,,,CTU2,Yes
CTC46,MM Sundae Caramel,Sundae Caramel,MM,Male,CTC47,CTC48,CTU1,No
CTC2154,MM Kenny,Kenny,MM,Male,CTC47,CTC48,CTU1,Yes
CTC2211,MM Fudge,Fudge,MM,Male,CTC47,CTC2195,CTU1,Yes
CTC2212,AM Ruby,Ruby,AM,Female,,,CTU2,Yes
CTC2202,MM Vince,Vince,MM,Male,CTC2194,CTC2195,CTU1,Yes
CTC256,MM Odin,Odin,MM,Male,CTC260,CTC261,CTU1,No
CTC2200,PvK Ravi,Ravi,PvK,Male,,,CTU2,Yes
CTC2222,Cami,Cami,,Female,,,CTU2,Yes
CTC2214,AM Senna,Senna,AM,Female,,,CTU2,Yes
CTC2221,FF King,King,FF,Male,,,CTU2,Yes
CTC2218,MOW Jasmin,Jasmin,MOW,Female,,,CTU2,Yes
CTC2209,SA Destiny,Destiny,SA,Female,,,CTU2,Yes
CTC2206,BSR Skye,Skye,BSR,Female,,,CTU2,Yes
CTC2199,MM Belle,Belle,MM,Female,,,CTU1,Yes
CTC257,MM Arwen,Arwen,MM,Female,CTC258,CTC259,CTU1,No
CTC2153,MM Nana,Nana,MM,Female,CTC258,CTC259,CTU1,Yes
CTC2196,PvK Gemma,Gemma,PvK,Female,,,CTU2,Yes
CTC2195,PvK Mascha,Mascha,PvK,Female,,,CTU2,Yes
CTC2197,PvK Finn,Finn,PvK,Male,,,CTU2,Yes
CTC2194,FF Baron,Baron,FF,Male,,,CTU2,Yes
CTC2201,MS Levi,Levi,MS,Male,,,CTU2,Yes
CTC2198,BE Dena,Dena,BE,Female,,,CTU2,Yes
CTC26,RM Toby,Toby,RM,Male,CTC29,CTC30,,Yes
CTC37,CMM Wildfire,Wildfire,CMM,Female,CTC289,CTC299,,No
CTC39,TnS Black Belle,Black Belle,TnS,Female,CTC40,CTC298,,Yes
CTC158,PLX Cepheus,Cepheus,PLX,Male,CTC166,CTC167,,No
CTC160,PLX Altair,Altair,PLX,Male,CTC162,CTC165,,No
CTC161,PLX Aysu,Aysu,PLX,Female,CTC162,CTC165,,No
CTC173,TnS Anzu,Anzu,TnS,Female,CTC174,CTC175,,Yes
CTC192,MV Ember,Ember,MV,Female,CTC193,CTC197,,No
CTC198,MV Rory,Rory,MV,Male,CTC193,CTC197,,No
CTC202,CMM Magpie,Magpie,CMM,Female,CTC228,CTC231,,No
CTC205,HV Hakuna,Hakuna,HV,Male,CTC207,CTC208,,No
CTC231,CMM Cinnamon Toast,Cinnamon Toast,CMM,Female,CTC232,CTC235,,No
CTC236,KW Yoshi,Yoshi,KW,Male,CTC238,CTC239,,No
CTC237,KW Kimi,Kimi,KW,Female,CTC247,CTC250,,No
CTC255,AR Gaia,Gaia,AR,Female,CTC256,CTC257,,No
CTC280,RM Mia,Mia,RM,Female,CTC273,CTC279,,No
