ID,Full Name,Name,Prefix,Sex,Sire ID,Dam ID,Owner CTU ID,Owned
CTC284,RM Jordana,Jordana,RM,Female,CTC273,CTC279,,No
CTC287,LB Rhedija,Rhedija,LB,Female,CTC285,CTC286,,No
CTC291,CMM Masked Flame,Masked Flame,CMM,Male,CTC289,CTC290,,No
CTC296,M&M Samara,Samara,M&M,Female,CTC294,CTC295,,No
CTC297,M&M Farah,Farah,M&M,Female,CTC294,CTC295,,No
CTC299,TnS Kozue,Kozue,TnS,Female,CTC375,CTC886,,Yes
CTC300,M&M Leila,Leila,M&M,Female,CTC294,CTC295,,No
CTC306,RM Darcy,Darcy,RM,Female,CTC29,,,No
CTC324,RM Letty,Letty,RM,Female,CTC273,CTC279,,No
CTC325,RM Pardoes,Pardoes,RM,Female,CTC273,CTC324,,No
CTC326,RM Poppy,Poppy,RM,Female,CTC273,CTC324,,No
CTC340,MF Curry,Curry,MF,Male,CTC338,CTC339,,No
CTC372,TOM Zola,Zola,TOM,Female,CTC370,CTC371,,No
CTC383,FS Rogan,Rogan,FS,Male,,CTC384,,No
CTC386,CMM Hot Spot,Hot Spot,CMM,Female,CTC228,CTC385,,No
CTC563,MF Amaranth,Amaranth,MF,Female,CTC330,CTC336,,No
CTC597,SLM'S Lilo,Lilo,SLM'S,Male,CTC601,CTC707,,Yes
CTC629,SLM'S BlueBelle,BlueBelle,SLM'S,Female,CTC698,CTC699,,Yes
CTC630,SLM'S Swablu,Swablu,SLM'S,Female,CTC698,CTC699,,Yes
CTC631,SLM'S Ocean,Ocean,SLM'S,Male,CTC698,CTC699,,Yes
CTC658,SLM's Pluck,Pluck,SLM's,Female,CTC601,CTC707,,Yes
CTC687,M2,M2,,Male,CTC656,CTC657,,Yes
CTC690,M5,M5,,Male,CTC656,CTC657,,Yes
CTC688,M1,M1,,Male,CTC656,CTC657,,Yes
CTC689,M4,M4,,Male,CTC656,CTC657,,Yes
CTC691,M6,M6,,Male,CTC656,CTC657,,Yes
CTC692,F5,F5,,Female,CTC656,CTC657,,Yes
CTC693,F3,F3,,Female,CTC656,CTC657,,Yes
CTC694,F4,F4,,Female,CTC656,CTC657,,Yes
CTC695,M3,M3,,Male,CTC656,CTC657,,Yes
CTC696,F2,F2,,Female,CTC656,CTC657,,Yes
CTC697,F1,F1,,Female,CTC656,CTC657,,Yes
CTC712,SLM's Goosebumps,Goosebumps,SLM's,Male,CTC698,CTC699,,Yes
CTC723,SLM's Doblo,Doblo,SLM's,Male,CTC601,CTC707,,,Yes
CTC725,SLM's Rintin,Rintin,SLM's,Male,CTC601,CTC707,,,Yes
CTC730,SLM's Prosecco,Prosecco,SLM's,Male,CTC601,CTC707,,Yes
CTC731,SLM's Veneto,Veneto,SLM's,Male,CTC601,CTC707, Splash",,,Yes
CTC740,TnS Ran,Ran,TnS,Female,CTC377,CTC747,,Yes
CTC746,TnS Risu,Risu,TnS,Female,CTC377,CTC952,,Yes
CTC747,TnS Riku,Riku,TnS,Female,CTC369,CTC748,,Yes
CTC754,TnS Kakei,Kakei,TnS,Female,CTC40,CTC755,,Yes
CTC760,TnS Chikara,Chikara,TnS,Male,CTC769,CTC770,,Yes
CTC767,TnS Ryoko,Ryoko,TnS,Female,CTC785,CTC382,,Yes
CTC770,TnS Moka,Moka,TnS,Female,CTC379,CTC899,,Yes
CTC772,TnS Junzen,Junzen,TnS,Male,CTC172,CTC367,,Yes
CTC773,TnS Ninko,Ninko,TnS,Female,CTC375,CTC774,,Yes
CTC778,TnS Kujaku,Kujaku,TnS,Male,CTC377,CTC780,,Yes
CTC781,KW Satoshi,Satoshi,KW,Male,CTC783,CTC250,,No
CTC785,TnS Takiyo,Takiyo,TnS,Male,CTC379,CTC786,,Yes
CTC786,TnS Hakuko,Hakuko,TnS,Female,CTC377,CTC364,,Yes
CTC810,MD Camille,Camille,MD,Female,CTC672,CTC814,,Yes
CTC811,MD Sylvie,Sylvie,MD,Female,CTC672,CTC814,,Yes
CTC812,MD Emily,Emily,MD,Female,CTC672,CTC815,,Yes
CTC813,MD Mindy,Mindy,MD,Female,CTC672,CTC815,,Yes
CTC959,KW Kieran,Kieran,KW,Male,CTC961,CTC362,,No
CTC970,TnS Koi,Koi,TnS,Female,CTC379,CTC971,,Yes
CTC983,TnS Motoo,Motoo,TnS,Male,CTC379,CTC972,,Yes
CTC985,TnS Itako,Itako,TnS,Female,CTC379,CTC986,,Yes
CTC1062,DM Helga,Helga,DM,Female,CTC517,CTC510,,Yes
CTC1064,DM Fuzzby,Fuzzby,DM,Female,CTC517,CTC510,,Yes
CTC1065,DM Kitty,Kitty,DM,Female,CTC517,CTC510,,Yes
CTC1096,DM Eva,Eva,DM,Female,CTC521,CTC516,,Yes
CTC1189,SLM's Ice Queen,Ice Queen,SLM's,Female,CTC601,CTC707,,Yes
CTC1858,SLM's Iolite,Iolite,SLM's,Female,CTC601,CTC707,,Yes
CTC2060,Michel,Michel,,Male,CTC521,CTC516,,Yes
CTC152,MLP Hiro,Hiro,MLP,Male,CTC154,CTC156,,Yes
CTC153,MLP Cara,Cara,MLP,Female,CTC154,CTC155,,Yes
CTC163,LB Chibi,Chibi,LB,Male,,,,No
CTC164,LB Quicksilver,Quicksilver,LB,Female,,,,No
CTC177,PvK Lovegood,Lovegood,PvK,Female,,,,No
