ID,Full Name,Name,Prefix,Suffix,Sex,Birth Date,Sire ID,Dam ID,Owner CTU ID,Owned
CTC565,MM O14-F5,O14-F5,MM,,Female,2025-08-21,CTC14,CTC523,CTU1,No
CTC564,MM O14-F6,O14-F6,MM,,Female,2025-08-21,CTC14,CTC523,CTU1,No
CTC522,MM Violet,Violet,MM,,Female,2025-08-21,CTC14,CTC523,CTU5,No
CTC151,MM Nayeli,Nayeli,MM,,Female,2025-08-10,CTC69,CTC70,CTU2,Yes
CTC518,MM Nani,Nani,MM,,Female,2025-08-10,CTC69,CTC70,CTU1,No
CTC25,MM Nolan,Nolan,MM,,Male,2025-08-10,CTC69,CTC70,CTU2,Yes
CTC519,FS Tinkerbell,Tinkerbell,FS,,Female,2025-08-10,,,CTU2,Yes
CTC150,MM Maddox,Maddox,MM,,Female,2025-08-09,CTC61,CTC68,CTU2,Yes
CTC672,MM Binx,Binx,MM,,Male,2025-08-09,CTC61,CTC68,CTU24,Yes
CTC517,MM Remy,Remy,MM,,Male,2025-08-09,CTC61,CTC68,CTU5,No
CTC24,MM Mickah,Mickah,MM,,Male,2025-08-09,CTC61,CTC68,CTU1,No
CTC149,MM Leah,Leah,MM,,Female,2025-08-07,CTC66,CTC67,CTU2,No
CTC148,MM London,London,MM,,Female,2025-08-07,CTC66,CTC67,CTU2,No
CTC22,MM Laszlo,Laszlo,MM,,Male,2025-08-07,CTC66,CTC67,CTU2,No
CTC23,MM Legend,Legend,MM,,Male,2025-08-07,CTC66,CTC67,CTU2,No
CTC562,MM Lilo,Lilo,MM,,Female,2025-08-07,CTC66,CTC67,CTU1,No
CTC147,MM Lainey,Lainey,MM,,Female,2025-08-07,CTC66,CTC67,CTU2,Yes
CTC144,MF Daifuku,Daifuku,MF,,Female,2025-08-06,CTC330,CTC184,CTU2,Yes
CTC514,MF Destiny,Destiny,MF,,Female,2025-08-06,CTC330,CTC184,CTU5,No
CTC515,MF Donut,Donut,MF,,Female,2025-08-06,CTC330,CTC184,CTU1,No
CTC516,MM Kiara,Kiara,MM,,Female,2025-08-06,CTC65,CTC331,CTU5,Yes
CTC20,MF Daikon Marion,Daikon,MF,Marion,Male,2025-08-06,CTC330,CTC184,CTU2,No
CTC21,MM Knox,Knox,MM,,Male,2025-08-06,CTC65,CTC331,CTU24,Yes
CTC146,MM Kadee,Kadee,MM,,Female,2025-08-06,CTC65,CTC331,CTU2,Yes
CTC145,MM Keira,Keira,MM,,Female,2025-08-06,CTC65,CTC331,CTU2,Yes
CTC142,MM Jazlin,Jazlin,MM,,Female,2025-08-04,CTC314,CTC77,CTU2,Yes
CTC143,MM Jaylee,Jaylee,MM,,Female,2025-08-04,CTC314,CTC77,CTU2,No
CTC19,DA Wonder,Wonder,DA,,Male,2025-08-03,CTC63,CTC64,CTU5,Yes
CTC512,MM Indie,Indie,MM,,Female,2025-08-03,CTC56,CTC513,CTU5,Yes
CTC511,MM Harriet,Harriet,MM,,Female,2025-07-27,CTC504,CTC488,CTU5,Yes
CTC141,MM Ginny,Ginny,MM,,Female,2025-07-25,CTC329,CTC328,CTU2,Yes
CTC510,MM Neytiri,Neytiri,MM,,Female,2025-07-25,CTC329,CTC328,CTU2,No
CTC139,MM Femme,Femme,MM,,Female,2025-07-24,CTC61,CTC62,CTU2,Yes
CTC140,MM Fedora,Fedora,MM,,Female,2025-07-24,CTC61,CTC62,CTU2,No
CTC18,MM Fenno,Fenno,MM,,Male,2025-07-24,CTC61,CTC62,CTU1,No
CTC17,MM Fynn,Fynn,MM,,Male,2025-07-24,CTC61,CTC62,CTU1,No
CTC508,MM Duchess,Duchess,MM,,Female,2025-07-22,CTC61,CTC327,CTU5,Yes
CTC509,MM Alice,Alice,MM,,Female,2025-07-22,CTC61,CTC327,CTU1,No
CTC131,MM Emory,Emory,MM,,Female,2025-07-22,CTC14,CTC326,CTU2,No
CTC132,MM Emmy,Emmy,MM,,Female,2025-07-22,CTC14,CTC326,CTU2,No
CTC133,MM Dakota Marion,Dakota,MM,Marion,Female,2025-07-22,CTC61,CTC327,CTU2,No
CTC134,MM Dica,Dica,MM,,Female,2025-07-22,CTC61,CTC327,CTU2,Yes
CTC135,MM Deedee,Deedee,MM,,Female,2025-07-22,CTC61,CTC327,CTU2,Yes
CTC130,MM Cally,Cally,MM,,Female,2025-07-21,CTC11,CTC325,CTU9,Yes
