ID,Full Name,Name,Prefix,Suffix,Species,Sex,Birth Date,Sire ID,Dam ID,Genetic Code,Color,Eye Color,Owner CTU ID,Owned
CTC521,MF Simba,Simba,MF,,Fancy Mouse,Male,2025-09-13,CTC340,CTC129,,Sealpoint Siamese,,CTU5,No
CTC559,MF Jake,Jake,MF,,Fancy Mouse,Male,2025-09-13,CTC340,CTC129,,Blue Tan,,CTU5,Yes
CTC520,MF Pocahontas,Pocahontas,MF,,Fancy Mouse,Female,2025-09-13,CTC340,CTC129,,Black Tan,,CTU1,No
CTC343,MM Sassy Marion,Sassy,MM,Marion,Fancy Mouse,Female,2025-09-12,CTC340,CTC337,a/a c/ch go/go,Sealpoint Himalayan,,CTU2,No
CTC560,MF Edna,Edna,MF,,Fancy Mouse,Female,2025-09-12,CTC340,CTC337,,Black,,CTU5,Yes
CTC561,MF Baloo,Baloo,MF,,Fancy Mouse,Male,2025-09-12,CTC340,CTC337,,Splashed,,CTU5,Yes
CTC342,MM Nameless Kassy,Nameless,MM,Kassy,Fancy Mouse,Female,2025-09-12,CTC340,CTC337,,Dove,,CTU2,No
CTC341,MM Neela,Neela,MM,,Fancy Mouse,Female,2025-09-12,CTC340,CTC337,a/a d/d go/go Re/re,Blue,,CTU2,Yes
CTC990,M3 Rumi,Rumi,M3,,Fancy Mouse,Male,2025-08-26,CTC1125,CTC1124,a/a ch/ch d/d Spl/spl Go/go Re/re sa/sa,Blue Splashed,,CTU2,Yes
CTC525,MM Mirage,Mirage,MM,,Fancy Mouse,Female,2025-08-21,CTC14,CTC523,,Black Tan,,CTU5,Yes
CTC565,MM O14-F5,O14-F5,MM,,Fancy Mouse,Female,2025-08-21,CTC14,CTC523,,Agouti Dilute,,CTU1,No
CTC564,MM O14-F6,O14-F6,MM,,Fancy Mouse,Female,2025-08-21,CTC14,CTC523,,Agouti Dilute Fox,,CTU1,No
CTC522,MM Violet,Violet,MM,,Fancy Mouse,Female,2025-08-21,CTC14,CTC523,,Black Tan,,CTU5,No
CTC151,MM Nayeli,Nayeli,MM,,Fancy Mouse,Female,2025-08-10,CTC69,CTC70,at/a ch/ch Spl/spl Rn/rn go/go Re/re,Splashed Fox,,CTU2,Yes
CTC518,MM Nani,Nani,MM,,Fancy Mouse,Female,2025-08-10,CTC69,CTC70,,Splashed Fox,,CTU1,No
CTC25,MM Nolan,Nolan,MM,,Fancy Mouse,Male,2025-08-10,CTC69,CTC70,a/a B/B ch/ch D/d Rn/rn go/go Sa/sa Rst/Rst,Sealpoint Siamese,,CTU2,Yes
CTC519,FS Tinkerbell,Tinkerbell,FS,,Fancy Mouse,Female,2025-08-10,,,a/a b/b ch/ch s/s Spl/spl go/go,Chocolate Tricolor,,CTU2,Yes
CTC150,MM Maddox,Maddox,MM,,Fancy Mouse,Female,2025-08-09,CTC61,CTC68,a/a ch/cch d/d go/go Re/re,Blue Burmese,,CTU2,Yes
CTC672,MM Binx,Binx,MM,,Fancy Mouse,Male,2025-08-09,CTC61,CTC68,,Blue Splashed,,CTU24,Yes
CTC517,MM Remy,Remy,MM,,Fancy Mouse,Male,2025-08-09,CTC61,CTC68,a/a d/d,Blue Burmese,,CTU5,No
CTC24,MM Mickah,Mickah,MM,,Fancy Mouse,Male,2025-08-09,CTC61,CTC68,,Bluepoint Siamese,,CTU1,No
CTC149,MM Leah,Leah,MM,,Fancy Mouse,Female,2025-08-07,CTC66,CTC67,a/a D/d rn/rn go/go Re/re sa/sa,Black Merle,,CTU2,No
CTC148,MM London,London,MM,,Fancy Mouse,Female,2025-08-07,CTC66,CTC67,a/a D/d s/s rn/rn go/go Re/re sa/sa,Black Merle Pied,,CTU2,No
CTC22,MM Laszlo,Laszlo,MM,,Fancy Mouse,Male,2025-08-07,CTC66,CTC67,a/a D/d s/s rn/rn go/go Re/re Sa/sa,Black Merle Pied,,CTU2,No
CTC23,MM Legend,Legend,MM,,Fancy Mouse,Male,2025-08-07,CTC66,CTC67,a/a D/d P/p go/go Re/re Sa/sa,Black,,CTU2,No
CTC562,MM Lilo,Lilo,MM,,Fancy Mouse,Female,2025-08-07,CTC66,CTC67,,Black,,CTU1,No
CTC147,MM Lainey,Lainey,MM,,Fancy Mouse,Female,2025-08-07,CTC66,CTC67,a/a d/d s/s go/go Sa/sa,Blue Pied,,CTU2,Yes
CTC144,MF Daifuku,Daifuku,MF,,Fancy Mouse,Female,2025-08-06,CTC330,CTC184,a/a C/cch d/d S/s go/go Re/re sa/sa rst/rst,Blue,,CTU2,Yes
CTC514,MF Destiny,Destiny,MF,,Fancy Mouse,Female,2025-08-06,CTC330,CTC184,,Blue,,CTU5,No
CTC515,MF Donut,Donut,MF,,Fancy Mouse,Female,2025-08-06,CTC330,CTC184,,Blue,,CTU1,No
CTC516,MM Kiara,Kiara,MM,,Fancy Mouse,Female,2025-08-06,CTC65,CTC331,,Sealpoint Siamese,,CTU5,Yes
CTC20,MF Daikon Marion,Daikon,MF,Marion,Fancy Mouse,Male,2025-08-06,CTC330,CTC184,a/a B/b C/cch d/d S/s go/go Re/re Sa/sa rst/rst,Blue,,CTU2,No
CTC21,MM Knox,Knox,MM,,Fancy Mouse,Male,2025-08-06,CTC65,CTC331,a/a ch/ch D/d s/s Spl/spl go/go Re/re sa/sa,Tricolor,,CTU24,Yes
CTC146,MM Kadee,Kadee,MM,,Fancy Mouse,Female,2025-08-06,CTC65,CTC331,a/a ch/ch go/go Re/re,Sealpoint Siamese,,CTU2,Yes
CTC145,MM Keira,Keira,MM,,Fancy Mouse,Female,2025-08-06,CTC65,CTC331,a/a ch/ch s/s Spl/spl go/go Re/re,Tricolor,,CTU2,Yes
CTC142,MM Jazlin,Jazlin,MM,,Fancy Mouse,Female,2025-08-04,CTC314,CTC77,a/a ch/ch d/d Spl/spl go/go Re/re sa/sa,Blue Splashed,,CTU2,Yes
CTC143,MM Jaylee,Jaylee,MM,,Fancy Mouse,Female,2025-08-04,CTC314,CTC77,a/a ch/ch d/d Spl/spl go/go Re/re sa/sa,Blue Splashed,,CTU2,No
CTC19,DA Wonder,Wonder,DA,,Fancy Mouse,Male,2025-08-03,CTC63,CTC64,,Blue Pied,,CTU5,Yes
CTC512,MM Indie,Indie,MM,,Fancy Mouse,Female,2025-08-03,CTC56,CTC513,,Black Pied,,CTU5,Yes
CTC511,MM Harriet,Harriet,MM,,Fancy Mouse,Female,2025-07-27,CTC504,CTC488,,Sealpoint Siamese,,CTU5,Yes
CTC141,MM Ginny,Ginny,MM,,Fancy Mouse,Female,2025-07-25,CTC329,CTC328,a/a d/d go/go Re/re,Blue,,CTU2,Yes
CTC510,MM Neytiri,Neytiri,MM,,Fancy Mouse,Female,2025-07-25,CTC329,CTC328,a/a d/d,Blue,,CTU2,No
CTC139,MM Femme,Femme,MM,,Fancy Mouse,Female,2025-07-24,CTC61,CTC62,a/a ch/ch d/d go/go Re/re Rst/rst,Bluepoint Siamese,,CTU2,Yes
CTC140,MM Fedora,Fedora,MM,,Fancy Mouse,Female,2025-07-24,CTC61,CTC62,a/a ch/cch d/d go/go Re/re Rst/rst,Blue Burmese,,CTU2,No
CTC18,MM Fenno,Fenno,MM,,Fancy Mouse,Male,2025-07-24,CTC61,CTC62,,Blue Splashed,,CTU1,No
CTC17,MM Fynn,Fynn,MM,,Fancy Mouse,Male,2025-07-24,CTC61,CTC62,,Bluepoint Siamese,,CTU1,No
CTC508,MM Duchess,Duchess,MM,,Fancy Mouse,Female,2025-07-22,CTC61,CTC327,,Sealpoint Himalayan,,CTU5,Yes
CTC509,MM Alice,Alice,MM,,Fancy Mouse,Female,2025-07-22,CTC61,CTC327,,Stone,,CTU1,No
CTC131,MM Emory,Emory,MM,,Fancy Mouse,Female,2025-07-22,CTC14,CTC326,a/a ch/cch s/s Go/go,Burmese Pied,,CTU2,No
CTC132,MM Emmy,Emmy,MM,,Fancy Mouse,Female,2025-07-22,CTC14,CTC326,a/a ce/ch s/s Go/go,Colorpoint Beige Pied,,CTU2,No
CTC133,MM Dakota Marion,Dakota,MM,Marion,Fancy Mouse,Female,2025-07-22,CTC61,CTC327,a/a ch/ch D/d go/go Re/re Sa/sa,Sealpoint Siamese,,CTU2,No
CTC134,MM Dica,Dica,MM,,Fancy Mouse,Female,2025-07-22,CTC61,CTC327,a/a c/cch D/d go/go Re/re Sa/sa,Stone,,CTU2,Yes
CTC135,MM Deedee,Deedee,MM,,Fancy Mouse,Female,2025-07-22,CTC61,CTC327,a/a c/cch D/d go/go Re/re Sa/sa,Stone,,CTU2,Yes
CTC130,MM Cally,Cally,MM,,Fancy Mouse,Female,2025-07-21,CTC11,CTC325,a/a ch/cch s/s Spl/spl Go/go,Tricolor,,CTU9,Yes
CTC54,MM Bianco,Bianco,MM,,Fancy Mouse,Male,2025-07-21,CTC53,CTC60,a/a ch/ch D/d E/e rn/rn go/go,Sealpoint Siamese Merle,,CTU2,Yes
CTC129,MF Bagel,Bagel,MF,,Fancy Mouse,Female,2025-06-23,CTC321,CTC323,at/a ch/ch D/d go/go Sa/sa rst/rst,Sealpoint Siamese Fox,,CTU2,No
CTC337,MF Almond,Almond,MF,,Fancy Mouse,Female,2025-06-22,CTC330,CTC336,,Stone,,CTU5,Yes
CTC128,MM Zorica Marion,Zorica,MM,Marion,Fancy Mouse,Female,2025-06-13,CTC61,CTC320,a/a ce/ch D/d S/s go/go Re/re,Colorpoint Beige,,CTU2,No
CTC127,MM Yeva,Yeva,MM,,Fancy Mouse,Female,2025-06-13,CTC316,CTC317,a/a d/d P/p S/s Rn/rn go/go Re/re sa/sa,Blue,,CTU2,Yes
CTC699,MM's (Silver) Spoon,(Silver) Spoon,MM's,,Fancy Mouse,Female,2025-06-13,CTC316,CTC317,,"Dove, Satin",,CTU10,Yes
CTC126,MM Atari,Atari,MM,,Fancy Mouse,Female,2025-06-10,CTC58,CTC59,at/a b/b rn/rn Go/go Re/re,Chocolate Merle Tan,,CTU2,Yes
CTC16,MM Voltari,Voltari,MM,,Fancy Mouse,Male,2025-05-18,CTC58,CTC59,at/a B/b s/s rn/rn go/go,Black Tan Merle Pied,,CTU2,No
CTC707,MM's Bubbles,Bubbles,MM's,,Fancy Mouse,Female,2025-05-17,CTC314,CTC315,,,,CTU10,Yes
