ID,Full Name,Owner CTU ID,Owned,Founder Lines
CTC2198,BE Dena,CTU2,Yes,
CTC2200,PvK Ravi,CTU2,Yes,
CTC2201,MS Levi,CTU2,Yes,
CTC2206,BSR Skye,CTU2,Yes,
CTC2208,JW Devon,CTU2,Yes,
CTC2209,SA Destiny,CTU2,Yes,
CTC2212,AM Ruby,CTU2,Yes,
CTC2214,AM Senna,CTU2,Yes,
CTC2217,MOW Flip,CTU2,Yes,
CTC2218,MOW Jasmin,CTU2,Yes,
CTC2221,FF King,CTU2,Yes,
CTC2222,Cami,CTU2,Yes,
CTC2224,TOM Kalani,CTU2,Yes,
CTC2225,PvK Rosemary,CTU2,Yes,
CTC2226,MM Elle,CTU2,Yes,
CTC2229,FR Sierra,CTU2,Yes,
CTC2230,MM Maisy,CTU2,Yes,
CTC2240,SB Emmett,CTU2,Yes,
CTC2241,FR Azula,CTU2,Yes,
CTC2242,MM Sinne,CTU2,Yes,
CTC25,MM Nolan,CTU2,Yes,
CTC341,MM Neela,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Quattro Line; Gianni Line
CTC344,MM Calico,CTU2,Yes,New Merle Line
CTC345,MM Primadonna,CTU2,Yes,New Merle Line
CTC347,MM Qutie,CTU2,Yes,Legacy Red Line; Polish Line
CTC348,MM Quana,CTU2,Yes,Legacy Red Line; Polish Line
CTC349,MM Royce,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC350,MM Ryder,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC351,MM Rogue,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC352,MM Ramona,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC353,MM Special,CTU2,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; New Merle Line; Gianni Line
CTC354,MM Sunny,CTU2,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; New Merle Line; Gianni Line
CTC519,FS Tinkerbell,CTU2,Yes,
CTC54,MM Bianco,CTU2,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC542,MM Prism,CTU2,Yes,New Merle Line
CTC557,MM Sally,CTU2,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; New Merle Line; Gianni Line
CTC568,MM Unix,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC570,MM Unita,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC571,MM Uvala,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC572,MM Upsy,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC573,MM Umbra,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC579,MM Wicky,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC580,MM Whoopy,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC583,MM Xavi,CTU2,Yes,Pawfriends Line
CTC587,MM Yeera,CTU2,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC618,MM Armani,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC638,MM Calimero,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC645,MM E15-F1,CTU2,Yes,Legacy Red Line
CTC646,MM Furby,CTU2,Yes,Legacy Red Line; Polish Line; Quattro Line; Pawfriends Line; Daikon Line
CTC648,MM Fabiosa,CTU2,Yes,Legacy Red Line; Polish Line; Quattro Line; Pawfriends Line; Daikon Line
CTC804,DM Vitan,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC805,DM Asha,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC806,MF Tamala,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line
CTC807,MF Cotija,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line
CTC809,RM Ripton,CTU2,Yes,Legacy Red Line; Polish Line
CTC990,M3 Rumi,CTU2,Yes,Legacy Red Line; Polish Line
CTC991,M3 Zaya,CTU2,Yes,
CTC992,M3 Tova,CTU2,Yes,
CTC993,M3 Tarin,CTU2,Yes,
